NPI,State
1386624120,WI
1235633769,VA
1285770602,NY
1225296585,WA
1457587099,TX
1497985642,NE
1154534477,NC
1093730996,FL
1972534634,CA
1295769040,FL
1275582900,IN
1598064909,NV
1518003953,PA
1245238096,VA
1609096478,IA
1558447342,MO
1336139518,LA
1447678487,MD
1992952865,VA
1265422265,NM
1245440437,NE
1306899059,DE
1669475620,TX
1275678492,TX
1265413769,WA
1922012103,NC
1881740090,NC
1184615072,PA
1558562264,VA
1043576507,TX
1073575940,GA
1902838550,TN
1871615419,IL
1912347105,MS
1659361541,OK
1205819331,IN
1538554258,MO
1881680171,CA
1205916442,MA
1477559854,PA
1801906722,CA
1811988520,IL
1851380158,OH
1013930825,AL
1174568695,MD
1609175959,IL
1053796730,KY
1346218401,IN
1871595710,CA
1710366984,OK
1104814425,ND
1366429706,MI
1821020447,OH
1508853128,WA
1982690566,IN
1659732576,KS
1992737498,CA
1740468263,CA
1851497911,CA
1639166069,KY
1932420478,OH
1568494136,KY
1780689588,KY
1790713931,GA
1386613438,VA
1063891216,TN
1205815743,GA
1437357936,IN
1629041058,VA
1366649345,NC
1801882394,FL
1710915178,OK
1487655379,MT
1811901887,TX
1295842524,WA
1003952466,FL
1447256797,IL
1396748786,AL
1366413023,FL
1235103904,CT
1265473706,IL
1306956776,TN
1669907911,WA
1760877120,CA
1821059213,LA
1851545677,TN
1598710923,NC
1255381125,CA
1790754190,TN
1609929371,OH
1861451049,OH
1619974433,NY
1164589164,IL
1407903784,TX
1417248691,AL
1295739779,KY
1881854412,WI
1396066783,PA
1033112016,OK
1225299829,NC
1093718058,FL
1083092126,KY
1366735623,AL
1134126030,NE
1417147141,AZ
1215039136,WI
1417987926,TN
1780662312,VA
1417016312,OK
1043206469,NY
1316929383,NE
1467455675,PA
1659381408,VA
1649280611,NE
1275997967,OR
1720089592,TX
1790785772,OH
1700094109,IA
1962473595,AZ
1659791945,CA
1306887435,CA
1356341119,GA
1942205315,MI
1124021688,CA
1912151929,MN
1750379954,CO
1831196765,IN
1245271931,NY
1992016976,OH
1932102290,TX
1467497818,OH
1407812647,AZ
1750489894,PA
1528058252,TN
1801882030,TX
1861476913,NC
1982655643,MA
1417077983,CA
1437193844,MA
1689839086,WI
1306012950,MA
1063434637,MN
1790078129,PA
1760425250,TN
1396920906,FL
1952707747,TX
1194859389,IN
1235129552,AR
1033293261,CA
1518975523,TX
1649298092,OH
1114958071,MD
1154382612,NC
1871761577,SD
1891790770,NY
1144665878,IL
1831249200,IL
1124314067,TX
1497769368,UT
1669476255,TX
1164809851,CA
1851654867,TN
1982918694,MO
1457401259,CO
1902301781,GA
1073519989,SD
1639172604,OK
1730316076,TX
1073582409,OK
1538193230,TX
1366425704,PA
1982696134,MO
1821228677,KS
1457612830,AZ
1912297284,CA
1083744775,CA
1952677858,GA
1710514344,TX
1043253347,CA
1962436410,CA
1659302099,TX
1215236401,CA
1114996576,OK
1114991676,CA
1063430023,WI
1104860691,CA
1104141159,KS
1063401362,MD
1033259114,OK
1093915837,NJ
1093733156,NJ
1053775346,FL
1083972913,VA
1174054860,OK
1083935068,MN
1053759019,MN
1033242581,NC
1184068496,CA
1184072209,TN
1023079522,NJ
1194093971,CA
1194757328,TX
1194861674,TX
1194975177,NY
1205889052,TX
1215921275,FL
1386816601,MD
1225391725,CA
1235333634,SC
1245405240,MD
1386140556,TX
1164953295,NY
1164797270,MO
1366875213,NV
1154709970,OK
1083857015,NC
1154683811,TX
1144756875,AL
1083279517,TX
1346462637,NJ
1144255324,TN
1073823258,NV
1043230584,SD
1033114335,CO
1346274024,CA
1336677913,SC
1346346491,FL
1346426293,CA
1144203779,GA
1346694163,AZ
1356390546,KS
1366422917,CA
1336348820,KS
1366850331,FL
1376546226,TX
